iter	Passed	Remaining
0	152	152188
1	170	84836
2	186	62003
3	205	51286
4	224	44699
5	243	40365
6	256	36373
7	271	33682
8	290	32004
9	309	30680
10	331	29825
11	352	29020
12	371	28239
13	390	27518
14	401	26375
15	416	25633
16	438	25347
17	450	24604
18	470	24280
19	484	23742
20	495	23098
21	514	22854
22	529	22509
23	549	22340
24	571	22290
25	585	21916
26	605	21829
27	630	21870
28	654	21913
29	671	21722
30	692	21648
31	709	21458
32	732	21453
33	756	21488
34	776	21412
35	797	21366
36	817	21288
37	835	21152
38	855	21071
39	876	21030
40	894	20916
41	915	20872
42	925	20607
43	941	20456
44	960	20386
45	978	20282
46	995	20187
47	1014	20125
48	1038	20148
49	1065	20242
50	1087	20244
51	1100	20059
52	1122	20054
53	1135	19896
54	1156	19868
55	1174	19791
56	1196	19789
57	1215	19746
58	1231	19647
59	1251	19603
60	1261	19418
61	1282	19397
62	1300	19348
63	1319	19292
64	1340	19286
65	1363	19290
66	1383	19263
67	1399	19175
68	1419	19150
69	1429	18988
70	1450	18974
71	1469	18936
72	1487	18887
73	1500	18772
74	1518	18729
75	1531	18625
76	1552	18615
77	1572	18589
78	1587	18506
79	1605	18464
80	1626	18449
81	1646	18433
82	1664	18394
83	1678	18303
84	1698	18289
85	1713	18215
86	1732	18182
87	1749	18132
88	1769	18109
89	1787	18074
90	1809	18075
91	1820	17969
92	1839	17943
93	1860	17931
94	1881	17925
95	1899	17884
96	1919	17864
97	1925	17726
98	1938	17644
99	1960	17643
100	1979	17618
101	2001	17620
102	2020	17597
103	2042	17593
104	2063	17588
105	2082	17560
106	2096	17500
107	2116	17478
108	2138	17482
109	2159	17474
110	2180	17465
111	2202	17459
112	2222	17443
113	2244	17444
114	2267	17446
115	2285	17419
116	2309	17428
117	2332	17431
118	2355	17441
119	2379	17449
120	2403	17461
121	2421	17424
122	2427	17311
123	2448	17300
124	2471	17299
125	2494	17299
126	2511	17262
127	2533	17256
128	2540	17151
129	2560	17132
130	2575	17088
131	2583	16988
132	2604	16980
133	2618	16922
134	2637	16897
135	2657	16884
136	2678	16873
137	2700	16866
138	2722	16861
139	2741	16841
140	2762	16828
141	2774	16765
142	2788	16710
143	2795	16616
144	2807	16553
145	2828	16542
146	2847	16524
147	2866	16504
148	2873	16409
149	2890	16381
150	2897	16292
151	2906	16216
152	2926	16202
153	2940	16153
154	2960	16138
155	2982	16135
156	3001	16116
157	3023	16111
158	3045	16107
159	3073	16135
160	3094	16124
161	3112	16102
162	3131	16082
163	3151	16065
164	3162	16004
165	3179	15975
166	3199	15958
167	3217	15933
168	3240	15935
169	3260	15916
170	3265	15830
171	3283	15804
172	3293	15743
173	3310	15716
174	3331	15706
175	3345	15663
176	3365	15647
177	3385	15633
178	3403	15610
179	3423	15594
180	3441	15573
181	3460	15554
182	3480	15536
183	3497	15510
184	3515	15487
185	3534	15469
186	3554	15455
187	3573	15434
188	3591	15411
189	3609	15388
190	3620	15333
191	3639	15317
192	3658	15298
193	3677	15277
194	3695	15254
195	3714	15236
196	3736	15230
197	3756	15217
198	3775	15197
199	3795	15183
200	3815	15165
201	3836	15155
202	3854	15132
203	3872	15111
204	3891	15091
205	3910	15073
206	3930	15057
207	3950	15041
208	3972	15035
209	3991	15017
210	4013	15006
211	4033	14992
212	4053	14977
213	4074	14964
214	4095	14952
215	4116	14942
216	4137	14928
217	4156	14910
218	4176	14893
219	4196	14877
220	4216	14864
221	4237	14851
222	4256	14829
223	4274	14808
224	4294	14791
225	4316	14782
226	4336	14768
227	4357	14754
228	4377	14736
229	4401	14734
230	4431	14753
231	4459	14762
232	4487	14771
233	4512	14771
234	4536	14766
235	4558	14756
236	4576	14732
237	4595	14714
238	4622	14719
239	4644	14707
240	4662	14684
241	4683	14669
242	4703	14651
243	4716	14612
244	4736	14596
245	4756	14578
246	4776	14562
247	4798	14549
248	4818	14532
249	4838	14516
250	4861	14505
251	4881	14488
252	4900	14467
253	4920	14450
254	4940	14433
255	4959	14414
256	4978	14393
257	4998	14374
258	5015	14348
259	5035	14330
260	5053	14309
261	5071	14286
262	5091	14266
263	5109	14244
264	5130	14228
265	5148	14207
266	5167	14186
267	5186	14166
268	5209	14157
269	5230	14141
